[u]:28.0656;[G]:89.4896857739892;[I]:46.69216590805188;[X]:0.08241074338927304
[u]:28.0775;[G]:88.53306863625392;[I]:46.73295584238911;[X]:0.08255233685688175
[u]:28.0819;[G]:87.63480321145032;[I]:46.760581635653715;[X]:0.08267360653755905
[u]:28.0792;[G]:86.79307715662188;[I]:46.77556692009242;[X]:0.08277392667048716
[u]:28.0697;[G]:86.00584139625606;[I]:46.77842602940845;[X]:0.082853053214833
[u]:28.0537;[G]:85.27090200482719;[I]:46.769667657451436;[X]:0.0829110264662198
[u]:28.0319;[G]:84.5859800301793;[I]:46.75005939006074;[X]:0.08294816392699857
[u]:28.0043;[G]:83.94874495431387;[I]:46.720066791745445;[X]:0.08296496646571619
[u]:27.9714;[G]:83.35688337359329;[I]:46.68030013268588;[X]:0.08296205129133576
[u]:27.9338;[G]:82.80810982993637;[I]:46.63152302969332;[X]:0.08294018882314605
[u]:27.8914;[G]:111.72352465778846;[I]:46.57413302395552;[X]:0.08290020347991917
[u]:45.0773;[G]:118.56570770557428;[I]:57.80953108884952;[X]:0.0856419717738904
[u]:34.8229;[G]:116.2358618004405;[I]:57.89949216120214;[X]:0.0898724677195676
[u]:30.4016;[G]:111.76182460619509;[I]:55.054647073476126;[X]:0.09237136396271144
[u]:300.0;[G]:96.18336874495175;[I]:230.12700114686834;[X]:0.1370735100481091
[u]:300.0;[G]:61.10355789556016;[I]:336.31374993662575;[X]:0.23043841060227088
[u]:300.0;[G]:38.116194933900246;[I]:400.7192710089981;[X]:0.3369670721011772
[u]:300.0;[G]:27.666090922443544;[I]:439.7831933568425;[X]:0.4391640615570504
[u]:300.0;[G]:22.278845187366255;[I]:463.47666015869237;[X]:0.529457565342145
[u]:300.0;[G]:19.069144923158234;[I]:477.847474383934;[X]:0.6055445206459789
[u]:300.0;[G]:16.984313196046404;[I]:486.5638139145867;[X]:0.6677524532017387
[u]:300.0;[G]:15.549215962364055;[I]:491.85054113073915;[X]:0.7175788183157109
[u]:300.0;[G]:14.517804571400502;[I]:495.05710330362604;[X]:0.7569101102469292
[u]:300.0;[G]:13.750624968580274;[I]:497.00198158777255;[X]:0.7876273458379465
