[u]:23.868535123268465;[G]:91.2216329910372;[I]:39.646042103335894;[X]:0.06981355431812414
[u]:23.910577727316902;[G]:90.59695828556733;[I]:39.72667206635379;[X]:0.06998488997280576
[u]:23.947858793352175;[G]:90.00358724347983;[I]:39.800024876940775;[X]:0.07014748644799965
[u]:23.980475051258033;[G]:89.44137591349971;[I]:39.8659047737638;[X]:0.07030026163899725
[u]:24.008640805385706;[G]:88.90998264661468;[I]:39.92433355831376;[X]:0.07044236857595634
[u]:24.032592044714182;[G]:88.40888248880329;[I]:39.97547921106326;[X]:0.07057321509598448
[u]:24.052553056343207;[G]:87.93737807473717;[I]:40.01959070070724;[X]:0.0706924488967888
[u]:24.068733413078128;[G]:87.49462266423343;[I]:40.05695646846114;[X]:0.07079992356140649
[u]:24.08133396322103;[G]:87.07965198466836;[I]:40.08788317549278;[X]:0.07089565978542857
[u]:24.090552126532362;[G]:86.69141772357445;[I]:40.11268628557254;[X]:0.07097980978736411
[u]:24.096584089940286;[G]:86.32881764072481;[I]:40.1316857930623;[X]:0.07105262764848204
[u]:24.09962458245105;[G]:85.99072025318678;[I]:40.14520348419721;[X]:0.07111444547990635
[u]:24.099865526714286;[G]:85.67598405376424;[I]:40.15356039168809;[X]:0.07116565431908811
[u]:24.097494512192156;[G]:85.38347210413963;[I]:40.15707424958965;[X]:0.07120668862533155
[u]:24.09269353883155;[G]:132.86794174584264;[I]:40.156057124194085;[X]:0.07123801356636916
[u]:52.05466445614789;[G]:146.0210082722269;[I]:58.492403273146216;[X]:0.07580303747186581
[u]:36.384263706050305;[G]:142.29489468357056;[I]:59.33758960763852;[X]:0.08294834918200408
[u]:28.28476941483885;[G]:134.15600917137962;[I]:54.53871738117242;[X]:0.08730272769961356
[u]:26.06449715319018;[G]:127.66757675037678;[I]:50.1720389944407;[X]:0.08858545484921297
[u]:26.939923637099803;[G]:123.6474571746616;[I]:48.09760347266017;[X]:0.08820484326871507
[u]:28.353431941195772;[G]:121.1055195362282;[I]:47.76634814877957;[X]:0.08744042684459909
[u]:29.341731064151475;[G]:119.06475062197117;[I]:48.21354051479943;[X]:0.08691225311989155
[u]:29.84888836772802;[G]:117.0112103701817;[I]:48.817361100238095;[X]:0.08674929745190524
[u]:30.072167916971857;[G]:114.80355072486418;[I]:49.330019571598484;[X]:0.0868687170518668
[u]:30.18766365925159;[G]:112.48176762800067;[I]:49.716702734632506;[X]:0.08715222716831153
[u]:30.288241245218625;[G]:110.13015110583856;[I]:50.017194941729755;[X]:0.0875139504831731
[u]:30.401777138551573;[G]:107.81599301118538;[I]:50.27390750952691;[X]:0.08790729866458588
[u]:30.52485170452086;[G]:105.5776695820955;[I]:50.51032167020198;[X]:0.08831108779019722
[u]:30.646462547719565;[G]:103.43242467585151;[I]:50.733464339398296;[X]:0.08871558186368632
[u]:30.75825193434842;[G]:101.38648799630255;[I]:50.94211670563149;[X]:0.08911448634495253
[u]:30.856263406324494;[G]:99.4415973592902;[I]:51.13294494810754;[X]:0.0895020020367303
[u]:30.939533569697115;[G]:97.59788252109898;[I]:51.303295225607776;[X]:0.0898724678119623
[u]:31.008441429709087;[G]:95.8546926304022;[I]:51.45180644671135;[X]:0.09022077643614243
[u]:31.063720791585535;[G]:94.21067243760525;[I]:51.57813428394445;[X]:0.09054273628795285
[u]:31.106078750936643;[G]:92.6637356544328;[I]:51.682533592741095;[X]:0.09083518773057937
[u]:31.136133463867047;[G]:91.21112544018614;[I]:51.765564326463185;[X]:0.09109593826764958
[u]:31.154454469743882;[G]:89.84955214764918;[I]:51.827939607765856;[X]:0.09132361997657115
[u]:31.16160505619721;[G]:88.57535482664424;[I]:51.87046136141398;[X]:0.09151753720595081
[u]:31.158161206356535;[G]:87.38464841364429;[I]:51.89399369886257;[X]:0.09167753299284437
[u]:31.144712073240232;[G]:86.27344169383079;[I]:51.89944708628193;[X]:0.09180387945157936
[u]:31.12185226798061;[G]:85.23772562055811;[I]:51.887763684734374;[X]:0.09189718856494504
[u]:31.09017289428128;[G]:84.27353720179295;[I]:51.85990257909758;[X]:0.09195833853824213
